id,task,response,rt,correct,question_id
participant_11,"If it takes 5 machines 5 min to make 5 widgets, how long would it take 100 machines to make 100 widgets?",5,139116,True,2
participant_11,"In a lake, there is a patch of lily pads. Every day, the patch doubles in size. If it takes 48 days for the patch to cover the entire lake, how long would it take for the patch to cover half of the lake?",3,189479,False,3
participant_11,"If John can drink one barrel of water in 6 days, and Mary can drink one barrel of water in 12 days, how long would it take them to drink one barrel of water together?",9,35000,False,4
participant_11,Jerry received both the 15th highest and 15th lowest mark in the class. How many students are in the class?,31,30753,False,5
participant_11,"Simon decided to invest $8,000 in the stock market 1 day early in 2008. Six months after he invested, in July 17, the stocks he had purchased were down 50%. Fortunately for Simon, from July 17 to October 17, the stocks he had purchased went up 75%. At this point...",loss,96791,False,7
participant_110,"A man buys a pig for $60, sells it for $70, buys it back for $80, and sells it finally for $90. How much has he made?",10,137493,False,6
participant_110,"Simon decided to invest $8,000 in the stock market 1 day early in 2008. Six months after he invested, in July 17, the stocks he had purchased were down 50%. Fortunately for Simon, from July 17 to October 17, the stocks he had purchased went up 75%. At this point...",profit,38981,True,7
participant_110,"If John can drink one barrel of water in 6 days, and Mary can drink one barrel of water in 12 days, how long would it take them to drink one barrel of water together?",18,25899,False,4
participant_110,Jerry received both the 15th highest and 15th lowest mark in the class. How many students are in the class?,29,58355,True,5
participant_110,"In a lake, there is a patch of lily pads. Every day, the patch doubles in size. If it takes 48 days for the patch to cover the entire lake, how long would it take for the patch to cover half of the lake?",24,41365,False,3
participant_110,"If it takes 5 machines 5 min to make 5 widgets, how long would it take 100 machines to make 100 widgets?",100,16792,False,2
participant_110,A bat and a ball cost $1.10. The bat costs $1.00 more than the ball. How much does the ball cost?,0.1,20099,False,1
participant_111,A bat and a ball cost $1.10. The bat costs $1.00 more than the ball. How much does the ball cost?,0.05,75011,True,1
participant_111,"If it takes 5 machines 5 min to make 5 widgets, how long would it take 100 machines to make 100 widgets?",5,36459,True,2
participant_111,"In a lake, there is a patch of lily pads. Every day, the patch doubles in size. If it takes 48 days for the patch to cover the entire lake, how long would it take for the patch to cover half of the lake?",47,38163,True,3
participant_111,"If John can drink one barrel of water in 6 days, and Mary can drink one barrel of water in 12 days, how long would it take them to drink one barrel of water together?",4,30893,True,4
participant_111,Jerry received both the 15th highest and 15th lowest mark in the class. How many students are in the class?,29,50630,True,5
participant_111,"A man buys a pig for $60, sells it for $70, buys it back for $80, and sells it finally for $90. How much has he made?",20,21955,True,6
participant_111,"Simon decided to invest $8,000 in the stock market 1 day early in 2008. Six months after he invested, in July 17, the stocks he had purchased were down 50%. Fortunately for Simon, from July 17 to October 17, the stocks he had purchased went up 75%. At this point...",loss,22890,False,7
participant_112,"Simon decided to invest $8,000 in the stock market 1 day early in 2008. Six months after he invested, in July 17, the stocks he had purchased were down 50%. Fortunately for Simon, from July 17 to October 17, the stocks he had purchased went up 75%. At this point...",profit,101854,True,7
participant_112,"A man buys a pig for $60, sells it for $70, buys it back for $80, and sells it finally for $90. How much has he made?",20,72865,True,6
participant_112,Jerry received both the 15th highest and 15th lowest mark in the class. How many students are in the class?,1,29742,False,5
participant_112,"If John can drink one barrel of water in 6 days, and Mary can drink one barrel of water in 12 days, how long would it take them to drink one barrel of water together?",9,51208,False,4
participant_112,"In a lake, there is a patch of lily pads. Every day, the patch doubles in size. If it takes 48 days for the patch to cover the entire lake, how long would it take for the patch to cover half of the lake?",24,34018,False,3
participant_112,"If it takes 5 machines 5 min to make 5 widgets, how long would it take 100 machines to make 100 widgets?",100,45017,False,2
participant_112,A bat and a ball cost $1.10. The bat costs $1.00 more than the ball. How much does the ball cost?,0.1,32505,False,1
participant_113,A bat and a ball cost $1.10. The bat costs $1.00 more than the ball. How much does the ball cost?,0.05,42133,True,1
participant_113,"If it takes 5 machines 5 min to make 5 widgets, how long would it take 100 machines to make 100 widgets?",5,21833,True,2
participant_113,"In a lake, there is a patch of lily pads. Every day, the patch doubles in size. If it takes 48 days for the patch to cover the entire lake, how long would it take for the patch to cover half of the lake?",47,17244,True,3
participant_113,"If John can drink one barrel of water in 6 days, and Mary can drink one barrel of water in 12 days, how long would it take them to drink one barrel of water together?",4,26219,True,4
participant_113,Jerry received both the 15th highest and 15th lowest mark in the class. How many students are in the class?,29,24909,True,5
participant_113,"A man buys a pig for $60, sells it for $70, buys it back for $80, and sells it finally for $90. How much has he made?",20,19602,True,6
participant_113,"Simon decided to invest $8,000 in the stock market 1 day early in 2008. Six months after he invested, in July 17, the stocks he had purchased were down 50%. Fortunately for Simon, from July 17 to October 17, the stocks he had purchased went up 75%. At this point...",loss,39917,False,7
participant_114,"Simon decided to invest $8,000 in the stock market 1 day early in 2008. Six months after he invested, in July 17, the stocks he had purchased were down 50%. Fortunately for Simon, from July 17 to October 17, the stocks he had purchased went up 75%. At this point...",loss,70727,False,7
participant_114,"A man buys a pig for $60, sells it for $70, buys it back for $80, and sells it finally for $90. How much has he made?",20,54685,True,6
participant_114,Jerry received both the 15th highest and 15th lowest mark in the class. How many students are in the class?,30,20176,False,5
participant_114,A bat and a ball cost $1.10. The bat costs $1.00 more than the ball. How much does the ball cost?,0.1,28179,False,1
participant_114,"In a lake, there is a patch of lily pads. Every day, the patch doubles in size. If it takes 48 days for the patch to cover the entire lake, how long would it take for the patch to cover half of the lake?",47,105255,True,3
participant_114,"If it takes 5 machines 5 min to make 5 widgets, how long would it take 100 machines to make 100 widgets?",5,30915,True,2
participant_114,"If John can drink one barrel of water in 6 days, and Mary can drink one barrel of water in 12 days, how long would it take them to drink one barrel of water together?",4,86168,True,4
participant_115,A bat and a ball cost $1.10. The bat costs $1.00 more than the ball. How much does the ball cost?,0.1,48878,False,1
participant_115,"If it takes 5 machines 5 min to make 5 widgets, how long would it take 100 machines to make 100 widgets?",100,49041,False,2
participant_115,"In a lake, there is a patch of lily pads. Every day, the patch doubles in size. If it takes 48 days for the patch to cover the entire lake, how long would it take for the patch to cover half of the lake?",24,36250,False,3
participant_115,"If John can drink one barrel of water in 6 days, and Mary can drink one barrel of water in 12 days, how long would it take them to drink one barrel of water together?",18,47652,False,4
participant_115,Jerry received both the 15th highest and 15th lowest mark in the class. How many students are in the class?,2,26571,False,5
participant_115,"A man buys a pig for $60, sells it for $70, buys it back for $80, and sells it finally for $90. How much has he made?",10,210785,False,6
participant_115,"Simon decided to invest $8,000 in the stock market 1 day early in 2008. Six months after he invested, in July 17, the stocks he had purchased were down 50%. Fortunately for Simon, from July 17 to October 17, the stocks he had purchased went up 75%. At this point...",even,88050,False,7
participant_116,"Simon decided to invest $8,000 in the stock market 1 day early in 2008. Six months after he invested, in July 17, the stocks he had purchased were down 50%. Fortunately for Simon, from July 17 to October 17, the stocks he had purchased went up 75%. At this point...",loss,3677,False,7
participant_116,"A man buys a pig for $60, sells it for $70, buys it back for $80, and sells it finally for $90. How much has he made?",20,38005,True,6
participant_116,Jerry received both the 15th highest and 15th lowest mark in the class. How many students are in the class?,31,4709,False,5
participant_116,A bat and a ball cost $1.10. The bat costs $1.00 more than the ball. How much does the ball cost?,0.1,9869,False,1
participant_116,"In a lake, there is a patch of lily pads. Every day, the patch doubles in size. If it takes 48 days for the patch to cover the entire lake, how long would it take for the patch to cover half of the lake?",47,4482,True,3
participant_116,"If it takes 5 machines 5 min to make 5 widgets, how long would it take 100 machines to make 100 widgets?",5,4741,True,2
participant_116,"If John can drink one barrel of water in 6 days, and Mary can drink one barrel of water in 12 days, how long would it take them to drink one barrel of water together?",4,5097,True,4
participant_12,Jerry received both the 15th highest and 15th lowest mark in the class. How many students are in the class?,29,16538,True,5
participant_12,"Simon decided to invest $8,000 in the stock market 1 day early in 2008. Six months after he invested, in July 17, the stocks he had purchased were down 50%. Fortunately for Simon, from July 17 to October 17, the stocks he had purchased went up 75%. At this point...",loss,100749,False,7
participant_12,"A man buys a pig for $60, sells it for $70, buys it back for $80, and sells it finally for $90. How much has he made?",20,83653,True,6
participant_12,"If John can drink one barrel of water in 6 days, and Mary can drink one barrel of water in 12 days, how long would it take them to drink one barrel of water together?",4,22998,True,4
participant_12,"If it takes 5 machines 5 min to make 5 widgets, how long would it take 100 machines to make 100 widgets?",5,8035,True,2
participant_12,A bat and a ball cost $1.10. The bat costs $1.00 more than the ball. How much does the ball cost?,0.1,17417,False,1
participant_12,"In a lake, there is a patch of lily pads. Every day, the patch doubles in size. If it takes 48 days for the patch to cover the entire lake, how long would it take for the patch to cover half of the lake?",47,29921,True,3
participant_13,A bat and a ball cost $1.10. The bat costs $1.00 more than the ball. How much does the ball cost?,0.05,125857,True,1
participant_13,"If it takes 5 machines 5 min to make 5 widgets, how long would it take 100 machines to make 100 widgets?",100,15430,False,2
participant_13,"In a lake, there is a patch of lily pads. Every day, the patch doubles in size. If it takes 48 days for the patch to cover the entire lake, how long would it take for the patch to cover half of the lake?",4.5,120795,False,3
participant_13,"If John can drink one barrel of water in 6 days, and Mary can drink one barrel of water in 12 days, how long would it take them to drink one barrel of water together?",12,30169,False,4
participant_13,Jerry received both the 15th highest and 15th lowest mark in the class. How many students are in the class?,31,39007,False,5
participant_13,"A man buys a pig for $60, sells it for $70, buys it back for $80, and sells it finally for $90. How much has he made?",10,53679,False,6
participant_13,"Simon decided to invest $8,000 in the stock market 1 day early in 2008. Six months after he invested, in July 17, the stocks he had purchased were down 50%. Fortunately for Simon, from July 17 to October 17, the stocks he had purchased went up 75%. At this point...",loss,65175,False,7
participant_15,A bat and a ball cost $1.10. The bat costs $1.00 more than the ball. How much does the ball cost?,1,17678,False,1
participant_15,"If it takes 5 machines 5 min to make 5 widgets, how long would it take 100 machines to make 100 widgets?",10,15331,False,2
participant_15,"In a lake, there is a patch of lily pads. Every day, the patch doubles in size. If it takes 48 days for the patch to cover the entire lake, how long would it take for the patch to cover half of the lake?",24,10446,False,3
participant_15,"If John can drink one barrel of water in 6 days, and Mary can drink one barrel of water in 12 days, how long would it take them to drink one barrel of water together?",3,13381,False,4
participant_15,Jerry received both the 15th highest and 15th lowest mark in the class. How many students are in the class?,15,13405,False,5
participant_15,"A man buys a pig for $60, sells it for $70, buys it back for $80, and sells it finally for $90. How much has he made?",10,19409,False,6
participant_15,"Simon decided to invest $8,000 in the stock market 1 day early in 2008. Six months after he invested, in July 17, the stocks he had purchased were down 50%. Fortunately for Simon, from July 17 to October 17, the stocks he had purchased went up 75%. At this point...",profit,21261,True,7
participant_16,"A man buys a pig for $60, sells it for $70, buys it back for $80, and sells it finally for $90. How much has he made?",10,10634,False,6
participant_16,"Simon decided to invest $8,000 in the stock market 1 day early in 2008. Six months after he invested, in July 17, the stocks he had purchased were down 50%. Fortunately for Simon, from July 17 to October 17, the stocks he had purchased went up 75%. At this point...",loss,13402,False,7
participant_16,Jerry received both the 15th highest and 15th lowest mark in the class. How many students are in the class?,30,4283,False,5
participant_16,"If John can drink one barrel of water in 6 days, and Mary can drink one barrel of water in 12 days, how long would it take them to drink one barrel of water together?",9,14692,False,4
participant_16,"In a lake, there is a patch of lily pads. Every day, the patch doubles in size. If it takes 48 days for the patch to cover the entire lake, how long would it take for the patch to cover half of the lake?",47,18246,True,3
participant_16,"If it takes 5 machines 5 min to make 5 widgets, how long would it take 100 machines to make 100 widgets?",5,9466,True,2
participant_16,A bat and a ball cost $1.10. The bat costs $1.00 more than the ball. How much does the ball cost?,0.1,9733,False,1
participant_17,"A man buys a pig for $60, sells it for $70, buys it back for $80, and sells it finally for $90. How much has he made?",10,14065,False,6
participant_17,Jerry received both the 15th highest and 15th lowest mark in the class. How many students are in the class?,30,4317,False,5
participant_17,"If John can drink one barrel of water in 6 days, and Mary can drink one barrel of water in 12 days, how long would it take them to drink one barrel of water together?",9,9855,False,4
participant_17,"Simon decided to invest $8,000 in the stock market 1 day early in 2008. Six months after he invested, in July 17, the stocks he had purchased were down 50%. Fortunately for Simon, from July 17 to October 17, the stocks he had purchased went up 75%. At this point...",profit,9746,True,7
participant_17,"If it takes 5 machines 5 min to make 5 widgets, how long would it take 100 machines to make 100 widgets?",100,4584,False,2
participant_17,A bat and a ball cost $1.10. The bat costs $1.00 more than the ball. How much does the ball cost?,0.1,14428,False,1
participant_17,"In a lake, there is a patch of lily pads. Every day, the patch doubles in size. If it takes 48 days for the patch to cover the entire lake, how long would it take for the patch to cover half of the lake?",24,9589,False,3
participant_18,A bat and a ball cost $1.10. The bat costs $1.00 more than the ball. How much does the ball cost?,0.05,17461,True,1
participant_18,"If it takes 5 machines 5 min to make 5 widgets, how long would it take 100 machines to make 100 widgets?",5,4636,True,2
participant_18,"In a lake, there is a patch of lily pads. Every day, the patch doubles in size. If it takes 48 days for the patch to cover the entire lake, how long would it take for the patch to cover half of the lake?",47,6154,True,3
participant_18,"If John can drink one barrel of water in 6 days, and Mary can drink one barrel of water in 12 days, how long would it take them to drink one barrel of water together?",4,37087,True,4
participant_18,Jerry received both the 15th highest and 15th lowest mark in the class. How many students are in the class?,29,25358,True,5
participant_18,"A man buys a pig for $60, sells it for $70, buys it back for $80, and sells it finally for $90. How much has he made?",20,30021,True,6
participant_18,"Simon decided to invest $8,000 in the stock market 1 day early in 2008. Six months after he invested, in July 17, the stocks he had purchased were down 50%. Fortunately for Simon, from July 17 to October 17, the stocks he had purchased went up 75%. At this point...",loss,26663,False,7
participant_19,Jerry received both the 15th highest and 15th lowest mark in the class. How many students are in the class?,15,14485,False,5
participant_19,"If John can drink one barrel of water in 6 days, and Mary can drink one barrel of water in 12 days, how long would it take them to drink one barrel of water together?",6,15659,False,4
participant_19,"A man buys a pig for $60, sells it for $70, buys it back for $80, and sells it finally for $90. How much has he made?",30,22885,False,6
participant_19,"If it takes 5 machines 5 min to make 5 widgets, how long would it take 100 machines to make 100 widgets?",100,12032,False,2
participant_19,A bat and a ball cost $1.10. The bat costs $1.00 more than the ball. How much does the ball cost?,0.1,15669,False,1
participant_19,"In a lake, there is a patch of lily pads. Every day, the patch doubles in size. If it takes 48 days for the patch to cover the entire lake, how long would it take for the patch to cover half of the lake?",24,13957,False,3
participant_19,"Simon decided to invest $8,000 in the stock market 1 day early in 2008. Six months after he invested, in July 17, the stocks he had purchased were down 50%. Fortunately for Simon, from July 17 to October 17, the stocks he had purchased went up 75%. At this point...",even,28790,False,7
participant_2,"A man buys a pig for $60, sells it for $70, buys it back for $80, and sells it finally for $90. How much has he made?",0,57122,False,6
participant_2,"Simon decided to invest $8,000 in the stock market 1 day early in 2008. Six months after he invested, in July 17, the stocks he had purchased were down 50%. Fortunately for Simon, from July 17 to October 17, the stocks he had purchased went up 75%. At this point...",loss,82230,False,7
participant_2,"If John can drink one barrel of water in 6 days, and Mary can drink one barrel of water in 12 days, how long would it take them to drink one barrel of water together?",9,127817,False,4
participant_2,Jerry received both the 15th highest and 15th lowest mark in the class. How many students are in the class?,29,13911,True,5
participant_2,"In a lake, there is a patch of lily pads. Every day, the patch doubles in size. If it takes 48 days for the patch to cover the entire lake, how long would it take for the patch to cover half of the lake?",24,5707,False,3
participant_2,"If it takes 5 machines 5 min to make 5 widgets, how long would it take 100 machines to make 100 widgets?",500,7166,False,2
participant_2,A bat and a ball cost $1.10. The bat costs $1.00 more than the ball. How much does the ball cost?,0.1,17071,False,1
participant_20,"A man buys a pig for $60, sells it for $70, buys it back for $80, and sells it finally for $90. How much has he made?",10,27870,False,6
participant_20,Jerry received both the 15th highest and 15th lowest mark in the class. How many students are in the class?,30,17205,False,5
participant_20,"If John can drink one barrel of water in 6 days, and Mary can drink one barrel of water in 12 days, how long would it take them to drink one barrel of water together?",6,41234,False,4
participant_20,"Simon decided to invest $8,000 in the stock market 1 day early in 2008. Six months after he invested, in July 17, the stocks he had purchased were down 50%. Fortunately for Simon, from July 17 to October 17, the stocks he had purchased went up 75%. At this point...",profit,21207,True,7
participant_20,"If it takes 5 machines 5 min to make 5 widgets, how long would it take 100 machines to make 100 widgets?",100,20767,False,2
participant_20,A bat and a ball cost $1.10. The bat costs $1.00 more than the ball. How much does the ball cost?,0.1,15345,False,1
